nom_entreprise,secteur,taille,ville_siege,site_web,type
Kenitra Analytics,Data Analytics,Startup,Kenitra,https://example.com,Produit
AutoTech Kenitra,Automobile & IT,ETI,Kenitra,https://example.com,Autre
Kenitra Cloud Services,Cloud,PME,Kenitra,https://example.com,Conseil
Meknes Software Lab,Développement logiciel,PME,Meknes,https://example.com,SSII
Meknes Data Services,Data,Startup,Meknes,https://example.com,Produit
Ismailia Tech Consulting,Conseil IT,PME,Meknes,https://example.com,Conseil
Meknes BI Factory,BI & Analytics,PME,Meknes,https://example.com,Conseil
AgroTech Meknes,AgriTech & IT,Startup,Meknes,https://example.com,Produit
Mohammedia Digital Services,Services IT,PME,Mohammedia,https://example.com,SSII
Casa North Tech,Digital,PME,Mohammedia,https://example.com,Conseil
Mohammedia Data Lab,Data Analytics,Startup,Mohammedia,https://example.com,Produit
Zenata Cloud Solutions,Cloud,PME,Mohammedia,https://example.com,Conseil
Atlantic Software Mohammedia,Développement logiciel,PME,Mohammedia,https://example.com,SSII
El Jadida Tech Services,Services IT,PME,El_Jadida,https://example.com,SSII
Mazagan Digital Lab,Digital,Startup,El_Jadida,https://example.com,Produit
Jorf Tech Analytics,Industrie & Data,ETI,El_Jadida,https://example.com,Autre
El Jadida Cloud Services,Cloud,PME,El_Jadida,https://example.com,Conseil
Mazagan Software House,Développement logiciel,PME,El_Jadida,https://example.com,SSII
